x_4,x_3,x_2,x_1,y
2518.007177429475,-355.4616256839418,50.17974867842081,-7.0837665601303375,11.80472648153583
2156.293281811732,-316.4323469353501,46.435905093060605,-6.814389561293117,8.016752168369889
1017.3212921420816,-180.13313217975997,31.895474477456546,-5.647607854433287,4.5159905432338405
938.658255370712,-169.58234172572315,30.637530177393735,-5.535117900947887,6.789950629990788
556.2799001368924,-114.5433883554973,23.585586703257825,-4.856499428936218,2.7453899016183594
258.07338935024063,-64.38836824532547,16.064662752458908,-4.008074693972022,2.8253240061697924
141.0298619572963,-40.924493265983145,11.875599435704133,-3.4460991621983452,4.428240597296806
62.48188725867939,-22.223661023202144,7.90454851706784,-2.8115028929502883,0.4880222653834903
19.737513035355942,-9.364170710876584,4.442692093242108,-2.1077694592251093,-0.3303003925979696
12.949084019596322,-6.826204371385334,3.598483572228213,-1.8969669402043392,-0.16127262712741286
4.250741448946285,-2.9603871974246228,2.0617326327500094,-1.4358734737956578,-1.0843777866191682
2.672439825416524,-2.0901668296429903,1.6347598678143906,-1.2785772826913475,-2.008089953566646
1.7683445342466582,-1.5334695734906574,1.3297911618922191,-1.1531657131098805,-2.2232382573964338
0.005290401567156535,-0.01961627217771911,0.07273514671159009,-0.2696945433478217,1.2618888321374102
0.14575653813701048,0.2358962481417723,0.3817807461580671,0.6178840879631609,1.9201399510183057
14.569216444979347,7.457223277234461,3.8169642970532673,1.9537052738458962,-0.7588070567482926
48.608588070222595,18.409193165819424,6.971985948796985,2.6404518455743493,3.0306919396234213
60.08270923375842,21.580531205307693,7.751303711877017,2.7841163251338865,2.5697114374679906
86.5215205485672,28.368939911677646,9.301694498776405,3.0498679477604282,0.8991270902116069
474.3692007278695,101.64531426381905,21.780018382174735,4.666906725249042,-0.8898821557001265
